customer_unique_id,avg_review_score,rating_rate,comment_rate,n_payment_types,boleto,credit_card,debit_card,voucher,Beauty & Fashion,Electronics,Home & Living,Leisure & Entertainment,Tools,Recency_log,Frequency,Monetary_log,average_payment_value_log,Label
3abbdb572309e93105f0ca0238df5f2c,5.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.449617521885687,1,0.9406024808028046,0.9931884178421994,0
3abc34087edcf535bc8f5f337314d6d8,5.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5112877794414838,1,1.5328349448041565,1.5828609659837336,0
3abcdd9f2adabfc152ffc2c348ab5644,5.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5728847313615836,1,0.41297597503005823,0.46784256965289944,0
3abdf4f27efce96f8573a88343a4084e,5.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4683430873773513,1,0.6581628134260175,0.7119695916517843,0
3abe07850c97df0f798eee99af821191,4.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.22324748397740032,1,0.11408939898209958,0.17024792630505367,0
3abf2523709d41f3b0138931a1b7c0cc,5.0,1.0,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8849849761474341,1,-1.105119210367713,-1.0436906722884864,2
3abf6ef042fa8ebcfd8c8811d25ef5f0,5.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010817741628204366,1,-0.7161849493022251,-0.6564375736783646,2
3ac0ed8132f29c1423dcd89fbc18bdac,1.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.47939204972076854,1,-0.5012442922198208,-0.44242599433220486,1
3ac1d332a2da06dd073b6875c86f52f3,5.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.25408867889609105,1,-1.261125214911897,-1.1990223432398086,2
3ac21ab85b7a7594972f8b595c0b4827,4.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0681144434358913,1,-1.2513758708416816,-1.189315140561741,2
3ac26522970439defcfbb97e77d02305,1.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2170874680915567,1,1.428321862579074,1.4787996399743417,1
3ac3b01377800633adab4a68b1c296b0,4.0,1.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07549153400615555,1,0.7811836494193234,0.834458671943926,0
3ac3dd3cb05384433cf89618ac9165a7,5.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2370110413162583,1,0.08383777213077352,0.14012706165281202,0
